BARANGAY,DRY,,,,
,,,,,
,AREA HECTARE,,,,
,,,,,
YEAR,2017,2018,2019,2020,2021
Labasan,265,130,265,265,265
Libertad,265,150,265,265,265
Sta. Cruz,48,25,78,48,48
Sagana,316,171,316,316,316
San Isidro,177,89,177,177,177
Anilao,657.5,100,657.5,657.5,657.5
Masaguisi,316,116,316,316,316
Mina de Oro,225,100,225,225,225
Polusahi,201.5,150,201.5,201.5,201.5
Dayhagan,422,380,422,422,422
Camantigue,275,210,275,275,275
Cawayan,344,254,344,344,344
Malitbog,300.5,255,300.5,300.5,300.5
Orconuma,260,72,260,260,260
Ogbot,93,70.5,345,345,345
Labonan,105,55,266,266,266
Lisap,187,12,26,26,26
Mapang,93,70.5,93,93,93
Hagupit,10,43,83,83,83
Sigange,93,56,93,93,93
Carmundo,118,64,118,118,118
Tawas,86.5,30,86.5,86.5,86.5
Hagan,96,64,96,96,96
Kaligtasan,257,130,257,257,257
San Jose,115,55,115,115,115
Luna ,,,,,
San Juan,,,21,21,21
